,,,MAPE Performance Comparison,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CPU-TA < baseline,CPU-TA <> baseline,baseline < CPU-TA,,,,,,,,,,,,,,,,,,,,,,,,,
Prediction Group,Scenarios,Win (p<0.05),Tie (p>0.05),Loss (p<0.05),Error Range,,,,,,,,,,,,,,,,,,,,,,,,
CPU,74,20,40,14,1% to 4%,,,,,,,,,,,,,,,,,,,,,,,,
Memory,96,37,44,15,1.5% to 5%,,,,,,,,,,,,,,,,,,,,,,,,
AWS to IBM,24,8,9,7,3% to 8%,,,,,,,,,,,,,,,,,,,,,,,,
IBM,254,84,91,79,7% to 17%,,,,,,,,,,,,,,,,,,,,,,,,
Sysbench,33,0,0,33,20% to 30%,,,,,,,,,,,,,,,,,,,,,,,,
Firecracker,90,32,37,21,2% to 6%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classic AWS CPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,process,workload,MAPE,SAPE,sDF,tDF,sSTDEV,tSTDEV,sAverage,tAverage,sCV,tCV,sUser,sIdle,sKern,tUser,tIdle,tKern,sLTAMape,tLTAMape,wassersteinDistance,minMape,minWasserstein,meanOffset,stdOffset,tStat,pValue,tStatTarget,pValueTarget
X256MB_v3_13->X256MB_v4_13,RegressionRuntime,SCNMT2,4.961,709.423,143,169,3701.081,3778.553,17311.063,15922.669,0.214,0.237,0.98,0.019,0.001,0.98,0.019,0.002,0.261,0.306,748.816,2.179,339.629,641.584,376.804,-0.671,0.555,-0.404,0.488
X512MB_v3_6->X512MB_v4_6,RegressionRuntime,SCNMT2,4.951,326.766,66,528,1727.562,1666.567,8179.045,7873.013,0.211,0.212,0.955,0.043,0.001,0.954,0.045,0.001,0.174,0.178,420.672,1.133,91.931,408.718,193.425,-0.411,0.551,-0.341,0.462
X512MB_v2_6->X512MB_v3_6,RegressionRuntime,SCNMT2,4.177,1929.774,462,66,2051.422,1727.562,9686.396,8179.045,0.212,0.211,0.895,0.104,0.001,0.955,0.043,0.001,0.208,0.174,354.404,2.486,210.916,274.431,182.448,0.742,0.372,0.199,0.505
X256MB_v3_13->X256MB_v4_13,Forest,SCNMT2,4.656,665.808,143,169,3701.081,3778.553,17311.063,15922.669,0.214,0.237,0.98,0.019,0.001,0.98,0.019,0.002,0.261,0.306,719.552,2.055,320.449,629.589,287.61,-0.67,0.556,-0.405,0.499
X512MB_v3_6->X512MB_v4_6,RegressionRuntime,SCMT2,4.171,275.286,66,528,5054.061,5368.692,23374.773,25738.625,0.216,0.209,0.956,0.043,0.001,0.953,0.046,0.001,0.175,0.133,1134.886,0.416,115.825,1119.893,659.447,-0.323,0.617,-0.534,0.497
